Review_ID,Truly_Predicted_Class,Original_Text,Explanation,Label1,Label2,Label3
47,Positive,stars thing place bit inventive staples done well excellent price supposed complaining really unconventional stuff incredibly well executed dishes served highly competent portion relatively short kitchen closed night informing us entirely clean table available us watching nascar brought everything clearly beer including estrella go back ,place thing inventive available really ,1,1,1
116,Negative,bright expecting cheesesteaks near waited turned finally try famous random trip ordered cheesesteak american cheese onions thought ordered peppers fries city worth experience wanted wil go good ,cheesesteak cheese worth experience american ,0,0,0
39,Positive,went food great night liquour margarita mojito beer delicious perfectly spiked awesome selections one ordered jenn believe goes steak perfectly juicy sauce meat share least gambas verde sauce amazing mejillones rã baixas meats good patatas alioli hit night opinion garlicy perfectly cooked shareable dont taste tasty ,margarita juicy patatas gambas food ,0,0,0
184,Negative,people make intelligent even immigration respect points one man mexican restaurants otherwise warmly welcomed italian section famous window speak english shirt displayed across american english owner vento faced language landed far removed struggle real many people especially adults learn ,english real american far language ,0,0,0
11,Positive,place aside sushi taiwanese nickname chinese granted cuisines differences wife food home country made trek glastonbury check place owners legit order mandarin everything waitress beef tofu spicy shredded bamboo shoots bean stem highly recommended guaranteed ,place taiwanese shoots legit tofu ,0,0,0
105,Negative,philly fair share philly years native fans tourist steaks mention pieces steak big roll add since heaven tourist countries think steaks honor without disrespecting countries needless say go original west philly steaks north tourist trap food ,think big without steak steaks ,0,0,0
23,Positive,nai tapas past tapas place pitchers run till good favorites croquetas gambas al ajillo pulpo la bacalao squid ink sooo every time leave arent customers ,place nai ajillo pulpo pitchers ,0,0,0
155,Negative,cheese steak boyfriend vi ordering wait grilled eyes seconds sure said move honestly honestly good cold steak looked dry plopped cheese meh cheesesteak still meat cheese vegas neon vento also embroiled years zealous rather immigration sign order ideals ,cheesesteak order cheese neon vi ,0,0,0
21,Positive,catch flamenco tapas oh delicious everything cooked perfectly well stood al ajillo pulpo taste difference authentic flair compared tapas places performers food flamenco dance definitely back place packed weekends possible ,definitely place authentic flamenco weekends ,1,1,1
72,Negative,philly check cheese check check worth hype brotherly love without trip philly cheesesteak recent sunday morning managed avoid crowds people line armed felt thoroughly prepared toe cheesesteak sandwich worth visit tender lacked pretty sandwich none less still recommend comparing visited ,cheesesteak crowds cheese without still ,1,1,1
34,Positive,best birthday put words amazing service give stars food give everybody uno times visited super duper friendly actually working hiding brought homemade cake celebrate us eat frown upon uno nice cake kitchen brought even left uno tip course token appreciation coconut filling will life also go favorite chorizo con also already many many times ever go places will definitely return soon foodcomalogs coâ blogspot ,service definitely times return even ,0,0,0
275,Negative,happened used love ordered looked cheese english soggy home fries flavorless salt hypertension mexican omelette hardly omelettes food revolting line felt telling people line save run gone neighborhood disgusting give breakfast call food went recover ,cheese recover english hardly home ,0,0,0
3,Positive,give toast stars option food although menu tons options place quickly weekday afternoon work done toast tasted kind plain perhaps changed since time went highly refreshing ,place toast since quickly refreshing ,0,0,0
119,Negative,past now tourist trap lines long mostly attractive lights encounters beef sliced ever pretty much everything cheesesteak mention look speak english cheesesteak go across review want try cash credit similar ,cheesesteak review long ever sliced ,1,1,1
24,Positive,birthday ordered tasted amazing tapas patatas bravas house special brings liiiifeee mee croquetas de pollo goodness actually mixture also cheesy also great seafood perfectly flavor cooked perfection overcooked ones tried filling even besides tried house mango sangria band dancers dinner great ambience waiter friendly us drinks definitely back ,definitely even house goodness patatas ,1,1,1
115,Negative,pats say pats well sandwich really turned place bad attitude poor political restaurant late politics cheesesteaks bones even right now seen sign says now foreigners came counter started speaking native tongue photos bag news commenter journalists op ed outside still fries fries smart buy told bush friends us instead war bad away want right wing zombie critical perhaps independent italian fanatic will ,will well still right counter ,0,0,0
120,Positive,first philly ever taste still people greasy eating cheesesteak buttery delicious bread melted cheese wit cheese whiz shaved meat issues star good everything perfect territory philly know excuse really care short line looong line gets food manner ,perfect excuse food good really ,1,1,1
94,Negative,nothing colorful place say short visit variety tourists locals biker window pleasant way wanted cheese american cheese provolone whiz popular traditional one review check city tasty bites citylightsandtastybites ,pleasant review cheese nothing visit ,1,1,1
14,Positive,kidney tripe different dishes specials pros food northhaven ct tripe appetizer rice good definitely fried rice chinese food area sucks intestine dish got sauce kind bland care much update review ,definitely rice specials food good ,1,1,1
191,Negative,jasmine rice amazing alas let recently cons proportion way small dishes entrees asian meant family two different time meat dry meat soaking curry tasted tossed pros really nice summer make mango sticky dessert good drunken ,time drunken two different dessert ,1,1,1
